question,answer
"                ""text"": ""Yes I need a chinese restaurant. "",","                ""text"": ""ok what location?"","
"                ""text"": ""It should be in the same area?"",","                ""text"": ""i only have one option can i book it for you?"","
"                ""text"": ""No, I don't need a chinese restaurant after all. Thanks for looking."",","                ""text"": ""OK. Is there anything else I can help you with today?"","
"                ""text"": ""No. That's everything I needed and then some, actually! Thanks, take care!"",","                ""text"": ""Thank you for calling.  Have a great day!"","
"                ""text"": ""Can you tell me the address to the police station in Cambridge?"",","                ""text"": ""The address is Parkside, Cambridge, postcode CB11JG"","
"                ""text"": ""Thanks. Would you be able to help me find a place to stay in the east side of town?"",","                ""text"": ""What price range do you prefer?"","
"                ""text"": ""That doesn't matter. I would like a 4 star hotel though, please."",","                ""text"": ""Would a and b guest house work for you?"","
"                ""text"": ""Does that place have free wifi?"",","                ""text"": ""Yes it has wifi. Would you like to know anything more?"","
"                ""text"": ""That is sufficient, please book me for 8 people, 5 nights staring on friday."",","                ""text"": ""You've been booked at A and B Guesthouse. Your reference number is I23Q30PH. Can I be of further assistance today?"","
"                ""text"": ""Also looking for a train leaving Norwich after 14:00 and arriving in Cambridge on Friday."",","                ""text"": ""The TR4828 leaves Norwich at 14:16 and arrives in Cambridge at 15:35 on Friday. The price is 17.60 pounds. Would you like me to book it for you?"","
"                ""text"": ""Can you please give me the travel time."",","                ""text"": ""The travel time is 79 minutes. Would you like me to book it?"","
"                ""text"": ""no I don't need you to do that, thank you"",","                ""text"": ""Okay, will that be all today or is there anything else I can help you with?"","
"                ""text"": ""That is all. Thank you!"",","                ""text"": ""You're welcome. Have a great day!"","
"                ""text"": ""I need to go from Cambridge to Peterbourgh Saturday. "",","                ""text"": ""Tr7310 is leaving from cambridge at 05:06 and arriving at peterborough at 05:56 for 13.20"","
"                ""text"": ""I'm sorry. The train needs to going to Cambridge from Peterborough."",","                ""text"": ""Sorry about that,what time would you like to depart?"","
"                ""text"": ""I would like to leave after 18:15.  Also, I would like to know the fare."",","                ""text"": ""TR4005 departs Peterborough at 18:19 and arrives in Cambridge at 19:09. Total travel time is 50 minutes, and the fare is 13.20 GBP per person."","
"                ""text"": ""Great, thank you. Now, I need some information on college I can visit in the centre of town."",","                ""text"": ""I have located several colleges in the area that have entrance fees ranging from free to 2 pounds. Is there a particular one you would like to visit?"","
"                ""text"": ""I don't have one in particular. Can you give me a few examples?"",","                ""text"": ""Sure I have Corpus Christi in the city centre and Christ's College, which is very famous in the centre."","
"                ""text"": ""Can I get the address of Corpus Christi?"",","                ""text"": ""The address is king's parade, is there anything else I can do?"","
"                ""text"": ""No thank you. Thank you for your help."",","                ""text"": ""You're welcome.  I hope you enjoy your visit!  Goodbye."","
"                ""text"": ""I need to find a train that leaves on Saturday and arrives by 08:45"",","                ""text"": ""Can you tell me what your departure city and destination are? "","
"                ""text"": ""I'll be leaving Cambridge to get to Ely."",","                ""text"": ""TR5344 arrives by 7:50. Does that work for you?"","
"                ""text"": ""Yes, can you book that for 7?"",","                ""text"": ""Booking was successful, the total fee is 24.64 GBP payable at the station, you reference number is NUECBTHH. Will that be all?"","
"                ""text"": ""Are there anything fun to do in city centre?"",","                ""text"": ""My favorite attraction in the centre of the city is a concert hall called Man on the Moon. It is amazing! They are at 2 Norfolk Street. "","
"                ""text"": ""what is their postcode?"",","                ""text"": ""cb12lf. Is there anything else you need?"","
"                ""text"": ""That's it.  Thank you."",","                ""text"": ""You're very welcome! Have a great day!"","
"                ""text"": ""I am looking for an expensive Italian restaurant."",","                ""text"": ""There is an expensive Italian restaurant named Frankie and Bennys at Cambridge Leisure Park Clifton Way Cherry Hinton. Would you like to go there or choose another? "","
"                ""text"": ""Great yeah that sounds great can you book a table for 5 people at 11:30 on Sunday?"",","                ""text"": ""Unfortunately there are no tables available, please try another day or time slot."","
"                ""text"": ""How about 10:30 on sunday? And may I have a reference number?"",","                ""text"": ""I was able to book a table for 5 at 10:30 on Sunday. Your reference number is MBC9E6AL. Is there anything else I can help you with today?"","
"                ""text"": ""No, that is all. Thank you so much for your help."",","                ""text"": ""You're welcome. Good-bye."","
"                ""text"": ""Where's the closest hospital with a paediatric intensive care unit? "",","                ""text"": ""Addenbrookes Hospital. The contact number for the paediatric intensive care unit is 01223217715."","
"                ""text"": ""Can I get the postcode as well?"",","                ""text"": ""It looks like the Post Code is CB20QQ."","
"                ""text"": ""That's all I need for now. thank you very much."",","                ""text"": ""You are welcome! Have a great day! "","
"                ""text"": ""I'm looking for a place to stay in the north part of town."",","                ""text"": ""How about arbury lodge guesthouse? Moderate price range, 4 stars. Free parking and wifi."","
"                ""text"": ""That sounds like a great place to stay. Thank you for your help!"",","                ""text"": ""Is there anything else I can help you with?"","
"                ""text"": ""Yeah, could you book me a room for 2 people for 4 nights starting Tuesday?"",","                ""text"": ""Your reference number is 91WNH1R1. For the arbury lodge guesthouse, starting tuesday for 2 nights, and 4 guests. Can I assist with anything else?\n"","
"                ""text"": ""I am also looking to visit a museum, it would need to be in the west. "",","                ""text"": ""There are 7 museums in the west. Some have entrance fees and others do not. Do you have a preference?"","
"                ""text"": ""I have no preference, I just need to know how much the entrance fee is."",","                ""text"": ""Cambridge and County folk museum has an entrance fee of 3.50 pounds. All the other museums are free. Is there anything else?"","
"                ""text"": ""That's all I needed for today! Thanks a bunch! Bye!!"",","                ""text"": ""Goodbye, have a great day"","
"                ""text"": ""I'm looking for a train schedule after 15:15, going to Cambridge."",","                ""text"": ""There are several trains available for you. Where are you departing from and what day would you prefer?"","
"                ""text"": ""i'm leaving from broxbourne to leave on saturday after 15:15"",","                ""text"": ""Is there a time you would prefer to arrive?"","
"                ""text"": ""No, but I would like the booking made for two people."",","                ""text"": ""Booking was successful, the total fee is 35.79 GBP payable at the station .\nReference number is : N5FLMFK9. Anything else you need?"","
"                ""text"": ""Yes, are there any italian restaurants in the center of town?"",","                ""text"": ""Yes I have pizza hut city centre located at regent street city centre.  Would you like to make a table reservation?"","
"                ""text"": ""Yes please. Can you book it for Saturday at 19:45 for 2 and get me a reference number?"",","                ""text"": ""I'm sorry, they didn't have that time available. Would you like to try a different time or a different day?"","
"                ""text"": ""Yes, can you try for 18:45 instead?"",","                ""text"": ""Sure thing! Your reference number is D1CJSO6Z."","
"                ""text"": ""Thank you for your help!"",","                ""text"": ""Did you need any further assistance today?"","
"                ""text"": ""That is all, thanks again."",","                ""text"": ""I'm glad we could help. Have a nice day."","
"                ""text"": ""I am seeking a restaurant that serves British food in the centre."",","                ""text"": ""I have about 7 different options for you. Do you have a certain price range in mind?"","
"                ""text"": ""I'd like a moderately priced one."",","                ""text"": ""There are 4 restaurants that match that criteria which are Restaurant One Seven, The Oak Bistro, The Copper Kettle, and Cotto. Which one would you be interested in? "","
"                ""text"": ""I would like the oak bistro."",","                ""text"": ""Great choice.  It is at 6 Lensfield Road.  Would you like a reservation?"","
"                ""text"": ""Yes, table for 2 at 13:30 on Friday. If not available then Tuesday. Need reference number as well."",","                ""text"": ""I made the booking for Friday. Your reference number is 0Z3UX3DM. Do you need anything else?"","
"                ""text"": ""I'd also like a nightclub to go to in the same area as the restaurant. "",","                ""text"": ""There are 5 nighclubs in the centre. Would you like more information on them?"","
"                ""text"": ""Yes can I get the phone number of one you'd recommend?"",","                ""text"": ""ballare's phone number is 01223364222. Can I get you anything else?"","
"                ""text"": ""No, we are all set, thanks for making this trip easier.  "",","                ""text"": ""It was my pleasure to be of service. Goodbye. "","
"                ""text"": ""i need to eat australian food in a place that is expensive"",","                ""text"": ""Unfortunately, I am not able to find any Australian cuisine in Cambridge? Can I look up another type of restaurant for you?"","
"                ""text"": ""Are you sure there are no restaurants that serve Australian food in the north that has an expensive price range?"",","                ""text"": ""No, I apologize there are no Australian restaurants in Cambridge. Would you like to try another type of cuisine?"","
"                ""text"": ""Hmm, I'll try asian oriental instead."",","                ""text"": ""saigon city is one of the best places in town. Shall I book it for you ?"","
"                ""text"": ""Yes, please book it for me."",","                ""text"": ""What day and time should I make the reservation for? How many people?"","
"                ""text"": ""Let's make it for six people at 15:00 on saturday."",","                ""text"": ""Booking was successful. The reference number is 30D245LZ. Anything else I can do?"","
"                ""text"": ""Thank you! Now I need some suggestions on places to go in that same area of town."",","                ""text"": ""Would you like to go to milton country park? They are located in the north and the entrance fee is free."","
"                ""text"": ""Sure.  What is their postcode and phone number?"",","                ""text"": ""The postcode is cb46az. The phone number is 01223420060. Can I help you with anything else?"","
"                ""text"": ""That all thank you very much for all your help."",","                ""text"": ""you are very welcome. thank you for using our system."","
"                ""text"": ""That all thank you very much for all your help."",","                ""text"": ""you are very welcome. thank you for using our system."","
"                ""text"": ""Can you help me find some Thai food to eat tonight?"",","                ""text"": ""What area of town would you prefer?"","
"                ""text"": ""I don't care where, just as long as it's expensive!"",","                ""text"": ""Understood. You have a choice between Sala Thong and Bangkok City."","
"                ""text"": ""Sala Thong sounds good. Please make a booking for 2 at 11:45 on Monday"",","                ""text"": ""Booking was successful. The table will be reserved for 15 minutes.\nReference number is : RARTE3OH. is there anything else i can help you with?"","
"                ""text"": ""yeah i need a train too"",","                ""text"": ""Where will you be leaving from?"","
"                ""text"": ""I'll need to arrive by 11:00 and it should be going to london liverpool street. "",","                ""text"": ""There are 21 trains available. Would you like to narrow it down by departure site, day, or departure time?"","
"                ""text"": ""Let's pick something arriving between 11:00 and 10:30. It needs to depart from cambridge and leave on tuesday. "",","                ""text"": ""Train TR4259 arrives in London Liverpool Street at 9:27. It's the closest arrival time to 11:00. How many tickets would you like to book? "","
"                ""text"": ""I would like 2 tickets please. "",","                ""text"": ""Your reservation for 2 on the TR4259 train was successful, the total fee is 33.2 GBP payable at the station. Your Reference number is : FNRSFZWB "","
"                ""text"": ""Thank you so much. The restaurant and train are all I need for now. Have a great day. Goodbye."",","                ""text"": ""Ok! Have a great day!"","
"                ""text"": ""I'm looking for a place to stay that has a star of 4 and free parking."",","                ""text"": ""I have located the Acorn Guest house in the North Area. It has a 4 star rating and free parking. Would you like to to book a room?"","
"                ""text"": ""No, sorry. I'm looking for a hotel in the centre, not north."",","                ""text"": ""I have a guest house that is in the cheap price range and a hotel in the expensive. Would you like to book at one of them?"","
"                ""text"": ""what is the address and price range "",","                ""text"": ""The University Arms Hotel is in the centre and is in the expensive price range. Would you like me to book a room?"","
"                ""text"": ""No, but I do need the address and postcode."",","                ""text"": ""Certainly, the address is regent street and the can be reached at 01223351241, can I assist with anything else?"","
"                ""text"": ""I'm also looking for a college in the same area."",","                ""text"": ""I have 13 colleges in that area.   Would you prefer one with an entrance fee or without?"","
"                ""text"": ""How about one with free entrance. May I have their address and postcode, please?"",","                ""text"": ""Downing College is a real sleeper and they have no entrance fee. Their address is on Regent Street, postcode cb21dq. Need any other help today?"","
"                ""text"": ""No that will be everything, thank you!"",","                ""text"": ""You're welcome. Have a wonderful day. Good bye."","
"                ""text"": ""Can you help me find a restaurant? I want to find a place in the centre."",","                ""text"": ""Sure! There are plenty of restaurants in the centre to choose from. What type of food do you prefer?"","
"                ""text"": ""I'd like to find a vegetarian restaurant, if possible. "",","                ""text"": ""I'm afraid there's none of those in the centre.  Would you like to try and different area of town?"","
"                ""text"": ""What about a restaurant that serves asian oriental food in the centre instead?"",","                ""text"": ""There are a few options in the centre ranging from cheap to expensive. Do you have a price range you would prefer?"","
"                ""text"": ""no not really. why don't you pick one a reserve a table for 4 at 19:15 on wednesday please"",","                ""text"": ""Your booking was successful. Your reference number is SB1NTSYB. Is there anything else I can do for you?"","
"                ""text"": ""I'll need a ride there. Can you arrange a taxi for me?"",","                ""text"": ""Where will you be departing from?"","
"                ""text"": ""Departing from the hotel and arriving at the restaurant by 19:15."",","                ""text"": ""First we need to book you a hotel or guesthouse. Do you have any preferences for location or price?"","
"                ""text"": ""I want kirkwood house- I don't need a booking, just the postcode."",","                ""text"": ""The postcode is cb41da. How else may I help you?"","
"                ""text"": ""Now I need a taxi."",","                ""text"": ""I have booked a taxi from kirkwood house to the dojo noodle bar for you. A white honda will pick you up. The contact number is 07516276037. Is there anything else I can help you with?"","
"                ""text"": ""Will the taxi arrive to the restaurant by the booked time?"",","                ""text"": ""yes, it will arrive by 19:15"","
"                ""text"": ""that will be okay for now thanks"",","                ""text"": ""You're welcome! I hope you have a wonderful trip!"","
"                ""text"": ""Thank you. I appreciated your assistance."",","                ""text"": ""And thank you for texting the cambridge towninfo centre. Take care!"","
"                ""text"": ""Please find a restaurant called Nusha."",","                ""text"": ""I don't seem to be finding anything called Nusha.  What type of food does the restaurant serve?"","
"                ""text"": ""I am not sure of the type of food but could you please check again and see if you can find it? Thank you."",","                ""text"": ""Could you double check that you've spelled the name correctly? The closest I can find is Nandos."","
"                ""text"": ""It's not a restaurant, it's an attraction. Nusha."",","                ""text"": ""oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?"","
"                ""text"": ""No, but please confirm their address again and their postcode. "",","                ""text"": ""Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?"","
"                ""text"": ""I want Indian food in the center area. "",","                ""text"": ""There are nine Indian restaurants in centre what price range do you want?"","
"                ""text"": ""I am looking for expensive Indian food."",","                ""text"": ""saffron brasserie is an expensive restaurant that serves italian food"","
"                ""text"": ""Can I get the address for saffron brasserie?"",","                ""text"": ""the address is Hills Road City Centre\t"","
"                ""text"": ""Can I clarify that it was Indian food and not Italian food please?"",","                ""text"": ""Yes, saffron brasserie is Indian food."","
"                ""text"": ""Thank you that is all the information I need at the moment. "",","                ""text"": ""i hope i have been of help"","
"                ""text"": ""You have. Thank you. Goodbye."",","                ""text"": ""I am glad to help. Enjoy your stay !"","
"                ""text"": ""I want to find a moderately priced restaurant. "",","                ""text"": ""I have many options available for you! Is there a certain area or cuisine that interests you?"","
"                ""text"": ""Yes I would like the restaurant to be located in the center of the attractions. "",","                ""text"": ""There are 21 restaurants available in the centre of town. How about a specific type of cuisine?"","
"                ""text"": ""i need to know the food type and postcode and it should also have mutliple sports"",","                ""text"": ""I am sorry I do not understand what you just said. Please repeat in a way that makes sense. "","
"                ""text"": ""get me the food type and the post code"",","                ""text"": ""My favorite it The Copper Kettle at 4 Kings Parade City Centre CB21SJ.  It serves British food.  Does that interest you?"","
"                ""text"": ""Absolutely! Thank you! I also need information on the attractions that have multiple sports in town, in the same area as the restaurant please. "",","                ""text"": ""The only multiple sports attraction is located in the east of town. Would you like more information?"","
"                ""text"": ""No, I want to be in the centre of town. What about architecture attractions?"",","                ""text"": ""All Saints Church is an architectural attraction. It is in the Centre of town and entrance is free!"","
"                ""text"": ""Can I get their phone number and address please?"",","                ""text"": ""Their phone number is 01223452587. Is there anything else I can assist you with?"","
"                ""text"": ""Oh, what type of architecture is it?"",","                ""text"": ""it is architecture type. anything else?"","
"                ""text"": ""Just the address please"",","                ""text"": ""it is located in Jesus lane"","
"                ""text"": ""Is there an entrance fee?"",","                ""text"": ""The entrance fee is free. Anything else i can do for you today? "","
"                ""text"": ""That will be all. Thank you!"",","                ""text"": ""Thank you and have a great day. Goodbye."","
"                ""text"": ""I am looking for a train departing from london liverpool please."",","                ""text"": ""I'll be glad to help. You would like to from london liverpool street to what destination, please?"","
"                ""text"": ""Cambridge. I'd like to leave after 10:00 on Friday."",","                ""text"": ""I have seven trains, could you tell me when you would like to arrive by ?"","
"                ""text"": ""Just any time after 10:00, can I get the train ID of one of them please?"",","                ""text"": ""TR7943 leaves at 11:39"","
"                ""text"": ""Thank you very much! That is all I need for today."",","                ""text"": ""Have a great day!"","
"                ""text"": ""I'm looking for some attractions in the centre."",","                ""text"": ""What type of attraction are you looking for?"","
"                ""text"": ""Parks for kids or a water slide"",","                ""text"": ""There is Parkside pools in the Centre. Is there anything else I can help you with today?"","
"                ""text"": ""I need the entrance fee, phone number, and postcode."",","                ""text"": ""Sure,the phone number is 01223446100 and the post code is cb11ly,and my records do not show what the entrance fee is. "","
"                ""text"": ""Thank you, can you also help me find a restaurant that is in the same area as the Parkside pools?"",","                ""text"": ""We have several food options in city centre. Can you tell me a bit more about the type of restaurant you enjoy?"","
"                ""text"": ""I am open to all types of food as long as it's in the  moderate price range. "",","                ""text"": ""I've found several restaurants that are located in the Centre with a moderate price range. May I recommend a British restaurant called the Oak Bistro?"","
"                ""text"": ""That sounds great. Can you book that for Tuesday at 12:00?"",","                ""text"": ""How many people will be in your party?"","
"                ""text"": ""There are 6 people "",","                ""text"": ""The table will be reserved for 15 minutes.\nReference number is : EJAOP5QE."","
"                ""text"": ""Thanks for your help!"",","                ""text"": ""You are quite welcome. Is there anything else I can assist with today?"","
"                ""text"": ""No that will be all. Thanks!"",","                ""text"": ""I hope you enjoy your time in Cambridge. Goodbye!"","
"                ""text"": ""I am looking for a particular hotel. Its name is called autumn house"",","                ""text"": ""I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?"","
"                ""text"": ""No thanks. Would you book the Autumn House for me starting on Monday, please."",","                ""text"": ""How many people would be staying and how many days will you be staying?"","
"                ""text"": ""That's for 8 people and it's for 2 nights."",","                ""text"": ""I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?"","
"                ""text"": ""Could you try Wednesday, instead?"",","                ""text"": ""Booking was successful.\nReference number is : 3H0WHD4Z."","
"                ""text"": ""Thank you goodbye"",","                ""text"": ""You're welcome. Thank you for calling and goodbye."","
"                ""text"": ""Where are some places in town around Cambridge College?"",","                ""text"": ""Please specify the type of attraction you're interested in."","
"                ""text"": ""A college type of attraction.  "",","                ""text"": ""I found several college type attractions.  Do you prefer a certain area of town?  "","
"                ""text"": ""I don't have a preference. Can you suggest something?"",","                ""text"": ""I sure can.  Corpus Christi is one of the most popular ones."","
"                ""text"": ""That sounds great! May I have the address? Also, what part of town is it located in?"",","                ""text"": ""The address is King's Parade and it is in the Centre of town.  Is there anything else you need to know?"","
"                ""text"": ""I am also looking for a particular restaurant.  Have you heard of Thanh Binh?"",","                ""text"": ""Yes I have. It's a great inexpensive restaurant. Would you like their information?"","
"                ""text"": ""Could I actually just book a table for 7 there? "",","                ""text"": ""Sure thing. I will work on getting this booked for you."","
"                ""text"": ""I'd like to dine at 13:30 on Sunday please. "",","                ""text"": ""Reservations for 7 at the Thanh Binh has been made for Sunday at 13:30.  The address is 17 Magdalene Street City Centre postcode is CB30af."","
"                ""text"": ""Hi! I am looking for a train that arrives by 11:30 on Friday. "",","                ""text"": ""I have 122 trains that are arriving by 11:30. Do you know where the train is coming from?"","
"                ""text"": ""The train should depart from Bishops Stortford and should go to Cambridge."",","                ""text"": ""TR2083 leaves Bishops Stortford at 09:29 on Friday and arrives in Cambridge at 10:07.  Would you like to purchase tickets?"","
"                ""text"": ""Yes please.  I will need 5 seats."",","                ""text"": ""Ok, your booking is complete! The total is 50.5 GBP and is payable at the station.  Your confirmation number is RGOWFL51"","
"                ""text"": ""Great.  I am also looking for suggestions on places to go in the centre of town.  Can you help me with that?"",","                ""text"": ""I show 44 attractions in  the centre area.   Is there a specific type you would prefer?"","
"                ""text"": ""Do you have any multiple sports?"",","                ""text"": ""There are no attractions matching that description. Would you like me to search for parks in the area?"","
"                ""text"": ""Do you have any architecture attractions"",","                ""text"": ""Yes many. All Saints Church is a famous one with no entrance fee."","
"                ""text"": ""That sounds great, plus it's free. Can I book that for 5 please?"",","                ""text"": ""Attractions are one thing we can't book for you, unfortunately. Is there anything else you need today?"","
"                ""text"": ""Can you please give me the phone number and post code for All Saints Church then?"",","                ""text"": ""All Saints Church phone is 01223452587. Their postcode is cb58bs. Is there anything else I can help you with today?"","
"                ""text"": ""That should be all I need.  Thanks for your help."",","                ""text"": ""You're welcome. Have a great time!"","
"                ""text"": ""Hello, I am looking for a hotel in the south that is moderately priced."",","                ""text"": ""I can't find any hotels, but I did find a guesthouse called aylesbray lodge guest house with that criteria."","
"                ""text"": ""I'd prefer a hotel.  It should have a 4 star rating.  Can you check again, please?"",","                ""text"": ""Unfortunately all we have is the aylesbray lodge guest house\t"","
"                ""text"": ""Okay, do you have any hotels with a 3 star rating instead?"",","                ""text"": ""There's one with 3 stars - Bridge Guest House. It's in the south and is moderately priced, and they have free wifi and parking. Would you like to book a room?"","
"                ""text"": ""I guess that's fine, book it for 6 people for 2 nights, We'll be there on thursday."",","                ""text"": ""I was able to book your party of 6 into Bridge Guest House for 2 nights starting Thursday! Reference: GAAQJAQQ. Can I help more today?"","
"                ""text"": ""Yes, I'm also looking for info on Wandlebury Country Park."",","                ""text"": ""Wandlebury Country Park is located at wandlebury ring, gog magog hills, babraham. Is there any other information you need today? "","
"                ""text"": ""Can you give me their phone number please?"",","                ""text"": ""The phone number for Wandlebury Country Park is 01223243830. Do you any further assistance today?"","
"                ""text"": ""thanks. i want to leave the hotel by 24:45."",","                ""text"": ""Do you mean that you want to book a taxi? If so, what will your destination be?"","
"                ""text"": ""Yes I do. I want to leave the hotel by 24:45 to go to the park. "",","                ""text"": ""Your taxi will be available and has been booked."","
"                ""text"": ""Wonderful.  Can you provide me with the contact number?  Also, what kind of car is it?"",","                ""text"": ""Of course, sorry about that.  Look for a red Lexus.  The contact number is 07951076280.  Can I be of further assistance today?"","
"                ""text"": ""Nope, that's it. Thanks! "",","                ""text"": ""Very please to have been of assistance today."","
"                ""text"": ""I'm looking for a hotel to stay at in the centre, can you look this up for me?"",","                ""text"": ""There are three hotels in the center of town. Do you prefer something moderate or expensive? "","
